"track__album__name","track__album__release_date","track__duration_ms","track__id","track__name","track__uri"
"Kids (feat. MKLA)","2020-08-14","184687","3rgTS3933lMWoPiN6CW4qY","Kids (feat. MKLA)","spotify:track:3rgTS3933lMWoPiN6CW4qY"
"No Chains","2018-04-18","222651","2B8OrKU8suMxTx2PcuuSIG","No Chains","spotify:track:2B8OrKU8suMxTx2PcuuSIG"
"Beast Mode","2019-06-10","161600","4KxqlCJNjBNwsmgzLFy3Is","Beast Mode","spotify:track:4KxqlCJNjBNwsmgzLFy3Is"
"Tumba","2019-07-26","196200","38Li8b8i0ZNeUxpVHWXX8q","Tumba","spotify:track:38Li8b8i0ZNeUxpVHWXX8q"
"Betoven","2019-03-08","174000","0ge3RApy254QnS4wPfgohK","Betoven","spotify:track:0ge3RApy254QnS4wPfgohK"
"damn Right Pt. 2","2020-10-09","186666","3syIqcdNRjbFcWkEMRRT1d","damn Right Pt. 2","spotify:track:3syIqcdNRjbFcWkEMRRT1d"
"The Squat Song (with MOTi)","2020-06-26","147142","3w11aMZLqp0Wx7viPz0bjc","The Squat Song (with MOTi)","spotify:track:3w11aMZLqp0Wx7viPz0bjc"
"I Don't Wanna Know","2020-05-29","180522","0hHcQSdtwycNOec82X2QId","I Don't Wanna Know","spotify:track:0hHcQSdtwycNOec82X2QId"
"Make It To Heaven (with Raye)","2019-11-21","172380","5dS2dvXVPe7AR6UwBpnomW","Make It To Heaven (with Raye)","spotify:track:5dS2dvXVPe7AR6UwBpnomW"
"The Best In The World Pack","2019-06-15","205426","5ry2OE6R2zPQFDO85XkgRb","Money In The Grave (Drake ft. Rick Ross)","spotify:track:5ry2OE6R2zPQFDO85XkgRb"
"Rain","2020-10-09","174283","4SGCk2NRPEueHeupJiIdy4","Rain","spotify:track:4SGCk2NRPEueHeupJiIdy4"
"Hollywood's Bleeding","2019-09-06","229573","7CZyCXKG6d5ALeq41sLzbw","Take What You Want (feat. Ozzy Osbourne & Travis Scott)","spotify:track:7CZyCXKG6d5ALeq41sLzbw"
"Colores","2020-03-19","157733","6zEgnpM0qYmHLDnh8WPejL","Amarillo","spotify:track:6zEgnpM0qYmHLDnh8WPejL"
